touristPlace,city,latitude,longitude,rating,imageURL,entryFee
Willingdon Island,Kochi,9.9483,76.2754,4.4,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/2d/37/46/willingdon-island.jpg?w=1200&h=-1&s=1,0
Kerala Kathakali Centre,Kochi,9.96614,76.24392,4.5,https://encrypted-tbn0.gstatic.com/licensed-image?q=tbn:ANd9GcT1PBm7iuHt5EyGOfs6oEWjwi-svV9UCz8uj_HtgOjAoXKwyaMxajHhM6YD_eVTEP2ucS6prB211sTHq89ANA3Ptw,400
Kuzhupilly beach,Kochi,10.1098,76.1872,4.4,https://encrypted-tbn1.gstatic.com/licensed-image?q=tbn:ANd9GcTr9aG8ycEw-LWVyMEby0jZuU_aB9Wptt58prJ2gPaW_-NgeJq-A1HmuXNxWmZP1wCwdTtQJa1LbxBDTyBDqAZ1TQ,0
Mattancherry Palace,Kochi,9.9583,76.2594,4.2,https://lh3.googleusercontent.com/p/AF1QipOns8jkuFGtOUWb5rCwPtL5NG6Qs2lehTSfbvdD=s1360-w1360-h1020,2
Puthuvype Beach,Kochi,9.9986,76.2189,4.3,https://images.unsplash.com/photo-1631806148536-d99067ea942e?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1033&q=80,0
Athirappilly Water Falls,Kochi,10.2851,76.5698,4.6,http://t2.gstatic.com/licensed-image?q=tbn:ANd9GcQMyZc8yT8-R1ttLSKUZjOzKYljZrkzpEWJ2VccmEkTLYXiXpecEhkpr4peFGx1cCin,15
Victoria Memorial,Kolkata,22.5448,88.3426,4.6,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS49ZDltMTJQ6FaQjO33FJjkBhgjDLS5gfw9ojOm9i4y3TnMIzJXyorIe-OxhtaG5Upc9hjJZ5uH4GChvTbCOVFgQ,20
Indian Museum,Kolkata,22.5579,88.3511,4.5,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTEw8Sm63VU1Jla8AbTL0ZHWWLzFWysICOML9IihqbmWJJCmXPe55ndQIQTc8cvEBvIa-ZH38QUyoDwjY-VsRUQIA,10
Howrah Bridge,Kolkata,22.5851,88.3468,4.6,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRxuGiqROABU1Yq0i2PJdWbSPOWbmsAEiAqz8vS3rZ0qgM5Ou1srvc7QLLNtXxTYF4VYP3IK9S4qp7wB_idQ8J7-Q,0
James Prinsep Ghat,Kolkata,22.5553,88.3312,4.5,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSB6SS_hepkv2aNhFW5044fCH9W1mAmYdchGDZ1WmelSMxFjG_HIJw8ja4GNCtVEGchKaYxMYu9b4PHCQr_FRKQxQ,0
Science City,Kolkata,22.5401,88.3961,4.4,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSMhUpoGrkcGRN7B-TBSaFwtJovNB8--hiEpR9fG7klBc3N7YnGbX0Ug6KX9T9BbGXnd9yrM8FYcTva4Y2kmzkJOg,65
M.P. Birla Planetarium,Kolkata,22.5455,88.3473,4.5,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSJGGUVLsobl4qltZTQM4pZErO4UVLS4c0baQM0QH4ICvmmEsSybXzxTibcdrRZNX7Y-J6vT82i2cFT7roJlo3Rww,80
Fort William ,Kolkata,22.5542,88.3359,4.6,https://encrypted-tbn3.gstatic.com/licensed-image?q=tbn:ANd9GcSpc2V69r7g-Cv5XMFfDO1JHJ7r2U2Uf1_SUYDBYqnF5AaGEsRS-k7keiyNB9aRUp12_GGJefuew1bm6FdFftuzvw,0
St. Paul's Cathedral,Kolkata,22.5442,88.3467,4.6,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTEXKLqBXCOrmlgEw9dy0nDx3pGNb0wkDnUtvS9rI8m3hE0EB74FQr5bgzpOMvoNITIvmNPy0922LetwJuUBHhsIQ,0
Belur Math,Kolkata,22.6322,88.3559,4.7,https://encrypted-tbn2.gstatic.com/licensed-image?q=tbn:ANd9GcQCrARIiqr9qng7FF2p3JQPsPcYXqeq-MSjVfPtdixN8dEamX4-_b3W-PUx5lE7_93rZ6mVWu__4kQPhlirhrtxtA,0
Alipore Zoological Garden,Kolkata,22.537,88.3317,4.3,https://image3.mouthshut.com/images/imagesp/925747434s.jpg,50
Hadimba Devi Temple,Manali,32.2489,77.1839,4.6,https://upload.wikimedia.org/wikipedia/commons/e/e5/Hadimba_Devi_Temple%2C_Hidimba_Devi_Temple_Dhungari_Temple_Manali_and_around_vrtmrgmpksk_%2841%29.jpg,0
Museum of Himachal Culture & Folk Art,Manali,32.2461,77.1808,4,https://upload.wikimedia.org/wikipedia/commons/4/46/Museum_Of_Himachal_Culture_%26_Folk_Art%2C_Manali%2C_Kullu%2C_HP_India.jpg,20
Himalayan Nyinmapa Buddhist Monastery,Manali,32.2415,77.1868,4.4,https://encrypted-tbn1.gstatic.com/licensed-image?q=tbn:ANd9GcRNPupJv22EbXxZZ0tsyf-dIZc1UFsYtNOgC5F0nilxiRZsJlTel0_K7ippgDpGc-pjpYA9qJ15xDR2h9aPU4VBzQ,0
Nehru Kund,Manali,32.286,77.1798,4.4,https://encrypted-tbn1.gstatic.com/licensed-image?q=tbn:ANd9GcSrxhz-76fTeaSxhNxTN2OuIxM0M7KWWevm6a0OYkInkSRDCCaicw4xYOV6iqY9NC_udfBv9SMv2-keAkHp9Ef9iw,0
Rohtang La,Manali,32.3716,77.2466,4.7,https://encrypted-tbn2.gstatic.com/licensed-image?q=tbn:ANd9GcSoWRpyHoBHP1fH8D5I8hcYyFLCFuqsARhg-QKHUjNeyI3tePNJCw2JVz9KB7MEEpMCCVfuV1LHcx043JkCXJPV6A,0
Mall Road,Manali,32° 14' ,77° 11',4.5,https://encrypted-tbn0.gstatic.com/licensed-image?q=tbn:ANd9GcTU-ARQvTtEp1Rah6tE85v7JD_KhlwQZv-kddEpHkkr0iSh7DzBObbx801augRlqVg3UJ8BMadO6kz571FkuYUsVA,0
Nicholas Roerich Art Gallery,Manali,32.1167,77.1686,4.2,https://encrypted-tbn3.gstatic.com/licensed-image?q=tbn:ANd9GcTpu3tDndI4oM0prDIhbYZX5zvckTmLzSBHTvsuutcKk06jx0VDtpO7XtcnyGuIbc4YKKYxV_lyWbXS1R2cNHzPMA,50
The Great Himalayan National Park(office),Manali,31.8918,77.1429,4.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR3MJkJCKq8kwV_u6MLK6A8SxZpPlrgEvuGRKFqDZCOpurY_r0TnRLHBaqc2tp05VtqiBtGfYRSO_xcufVxJMzhGQ,50
Gateway of India,Mumbai,18.92221245,72.83471867,4.6,https://images.unsplash.com/photo-1570168007204-dfb528c6958f?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=435&q=80,0
Sanjay Gandhi National Park,Mumbai,18.9493146,72.81998728,4.3,https://images.unsplash.com/photo-1469559845082-95b66baaf023?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=870&q=80,60
Dr. Bhau Daji Lad Mumbai City Museum,Mumbai,18.97899397,72.8347402,4.4,https://lp-cms-production.imgix.net/2019-06/14304e8b5c19fdac71c613948079e259-dr-bhau-daji-lad-mumbai-city-museum.jpg?auto=format&w=640&h=360&ar=16:9&fit=crop&crop=center&format=auto&q=75,100
Elephanta Island,Mumbai,18.96672855,72.93825425,4.4,https://images.unsplash.com/photo-1601047094969-a867235adc8e?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=871&q=80,600
Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Mumbai,18.92697762,72.83268087,4.6,https://images.unsplash.com/photo-1664863988713-aaa4219e3064?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=774&q=80,650
Hanging Gardens,Mumbai,18.95669678,72.8049866,4.2,https://media-cdn.tripadvisor.com/media/photo-s/01/e7/c0/04/hanging-gardens.jpg,0
Banganga Tank,Mumbai,18.94623962,72.79352807,4.3,https://lh5.googleusercontent.com/p/AF1QipOmRRdGYj_o4mtm7qQ8aNfPLnXJOEv9qUkcRM0=w408-h306-k-no,0
National Gallery of Modern Art,Mumbai,18.92578762,72.83145733,4.4,https://images.artfacts.net/exhibpics/preview/996420.jpg,500
Kanheri Caves,Mumbai,19.2058661,72.90682894,4.5,https://kevinstandagephotography.files.wordpress.com/2018/05/kanheri-caves.jpg?w=890,85
Haji Ali Dargah,Mumbai,18.98274292,72.8089155,4.4,https://img.veenaworld.com/wp-content/uploads/2021/07/Haji-Ali-Dargah-Mumbai-History-Timings-and-Location.jpg,0
Marine Drive Beach,Mumbai,18.9554799,72.81255669,4.5,https://lh5.googleusercontent.com/p/AF1QipPO52fO2694Kct5zmrR-SWhZJpwlGrFB2oC86Tw=w408-h397-k-no,0
Juhu Beach,Mumbai,19.09744233,72.82645793,4.2,https://lh5.googleusercontent.com/p/AF1QipOMemh9rmh-kWfCRQbUM52NCPWryYczYfnzRarv=w426-h240-k-no,0
