city,latitude,longitude,pageurl,site_review_rating,property_name
Jamshedpur,22.80989,86.2076092,http://www.goibibo.com/hotels/detail/Jamshedpur/hn/8399297392482907494/80592096767346206/na/hq/,1,Crystal Guest House
Goa,15.01186248,74.02319781,http://www.goibibo.com/hotels/detail/Goa/hn/8717279093827200968/7154398126570550160/na/hq/,3.8,Cuba Beach Huts
Bhuj,23.22988013,69.68927101,http://www.goibibo.com/hotels/detail/Bhuj/hn/4970921134496006292/2512924842314759594/na/hq/,4,City The Village Resort &amp; Hotel
Bangalore,12.9715987,77.5945627,http://www.goibibo.com/hotels/detail/Bangalore/hn/6771549831164675055/4677938518729515321/na/hq/,1,Deep Guest House
Hyderabad,17.4027421,78.4524591,http://www.goibibo.com/hotels/detail/Hyderabad/hn/2162254155836171767/7729420791394592127/na/hq/,1,D Lake View Resort
Goa,15.52930191,73.76476658,http://www.goibibo.com/hotels/detail/Goa/hn/8717279093827200968/5229488975972256126/na/hq/,4,Cygnett Inn Celestiial
Hyderabad,15.9128998,79.7399875,http://www.goibibo.com/hotels/detail/Hyderabad/hn/2162254155836171767/1943748333320069818/na/hq/,3.6,Classic Homes Guest House
Goa,15.54418694,73.76109982,http://www.goibibo.com/hotels/detail/Goa/hn/8717279093827200968/3735114051432130523/na/hq/,4.4,Citrus Hotel Goa
Pune,18.4593216,73.8250466,http://www.goibibo.com/hotels/detail/Pune/hn/1554245012668028405/91667963394557272/na/hq/,2.8,"Deccan Pavilion, Katraj"
Goa,15.23869384,73.92993147,http://www.goibibo.com/hotels/detail/Goa/hn/8717279093827200968/9023356674655021475/na/hq/,4.5,"Club Mahindra Emerald Palms, Goa"
Coorg,12.3374942,75.8069082,http://www.goibibo.com/hotels/detail/Coorg/hn/6624397033787067229/3410971093336649047/na/hq/,1,Coffee cup homestay
Amritsar,31.64214056,74.86969113,http://www.goibibo.com/hotels/detail/Amritsar/hn/6979104682588772672/2803144766162738901/na/hq/,3.6,Country Inn - Amritsar
Bikaner,28.01989,73.317551,http://www.goibibo.com/hotels/detail/Bikaner/hn/1560603270455679984/599499511642798482/na/hq/,4,Desert Winds
Corbett,29.46538238,79.1470902,http://www.goibibo.com/hotels/detail/Corbett/hn/6612277265847855481/5214829111352439215/na/hq/,2.6,Corbett Rosewood Resort
Dharmsala,32.199859,76.3360862,http://www.goibibo.com/hotels/detail/Dharmsala/hn/7558408766196243005/7469339072601711364/na/hq/,1,Colonels Cozy Corner Home Stay
Gangtok,27.3255388,88.6120105,http://www.goibibo.com/hotels/detail/Gangtok/hn/1196252839838244621/4432394065351164149/na/hq/,3.1,Delight Hotels Sernya
Ooty,11.41575268,76.71174836,http://www.goibibo.com/hotels/detail/Ooty/hn/889033689324744753/8370218828561057856/na/hq/,4.7,Cliff GK Residency
Ernakulam,9.9680898,76.244565,http://www.goibibo.com/hotels/detail/Ernakulam/hn/8210666562286566619/5611953011332864424/na/hq/,1,DALIYA HOMESTAY
Bangalore,12.9594601,77.5935757,http://www.goibibo.com/hotels/detail/Bangalore/hn/6771549831164675055/2349729421552204459/na/hq/,1,Deva Residency
Port Blair,11.6233774,92.7264828,http://www.goibibo.com/hotels/detail/Port Blair/hn/4221994537604741770/699574027839998410/na/hq/,3.3,De Meadows Resort
Varkala,8.727514,76.7278803,http://www.goibibo.com/hotels/detail/Varkala/hn/4947247049944326597/3272782734295977656/na/hq/,1,Cliffgarden beach resort
Lonavala,18.7727373,73.4044181,http://www.goibibo.com/hotels/detail/Lonavala/hn/2562341919299046803/2749749573281591891/na/hq/,1,Denaco Pearl Bungalow
Bangalore,12.9715987,77.5945627,http://www.goibibo.com/hotels/detail/Bangalore/hn/6771549831164675055/1871432205451627907/na/hq/,1,DEEYASUITES
Manali,32.22511722,77.18233395,http://www.goibibo.com/hotels/detail/Manali/hn/2242315224277940906/3250008271997875428/na/hq/,4.8,Cibori Gold
Goa,15.2056881,73.93694807,http://www.goibibo.com/hotels/detail/Goa/hn/8717279093827200968/5456613609259563218/na/hq/,3.5,Colonia Jose Menino Resort
Coorg,12.1949851,75.8040022,http://www.goibibo.com/hotels/detail/Coorg/hn/6624397033787067229/7710916043609681695/na/hq/,1.6,coorg o farm
Gurgaon,28.462353,77.031528,http://www.goibibo.com/hotels/detail/Gurgaon/hn/1466927038870613796/1137072935865066695/na/hq/,3.5,CYBER INN
Alleppey,28.6139391,77.2090212,http://www.goibibo.com/hotels/detail/Alleppey/hn/31335703284729576/4201673227399216818/na/hq/,1,cruisewithchris
Goa,15.0455814,73.9888797,http://www.goibibo.com/hotels/detail/Goa/hn/8717279093827200968/1369551312321331777/na/hq/,2.3,Cupid's Heaven Resort
Diveagar,18.16672594,72.98840747,http://www.goibibo.com/hotels/detail/Diveagar/hn/2148788444282385034/6724406077197151642/na/hq/,4,Cocohut Resort
Pune,18.5538369,73.9155096,http://www.goibibo.com/hotels/detail/Pune/hn/1554245012668028405/5445749907083006179/na/hq/,1,Comfort Solution Bunglow
Kangra,31.8338883,76.17730099,http://www.goibibo.com/hotels/detail/Kangra/hn/2482023231421888996/8428028272983588940/na/hq/,4.1,Deejay By One Earth
Siliguri,26.6933184,88.4361123,http://www.goibibo.com/hotels/detail/Siliguri/hn/1076703141543671718/2377797150610245247/na/hq/,3.2,Classic Lodge
Kangra,32.0459135,76.7394237,http://www.goibibo.com/hotels/detail/Kangra/hn/2482023231421888996/2846090531545713159/na/hq/,1,COLONELS RESORTS
Pune,18.510006,73.929323,http://www.goibibo.com/hotels/detail/Pune/hn/1554245012668028405/80114877421645977/na/hq/,4.1,Clover Home Service Apt
Coorg,12.4244205,75.7381856,http://www.goibibo.com/hotels/detail/Coorg/hn/6624397033787067229/2196837909531675651/na/hq/,1,Coffee Coorg Nest
Coorg,12.3950983,75.7330083,http://www.goibibo.com/hotels/detail/Coorg/hn/6624397033787067229/6852007875171466135/na/hq/,3.5,Cynosure Resort
Munnar,10.0242194,77.0417743,http://www.goibibo.com/hotels/detail/Munnar/hn/1780299204263085384/6832605980982536528/na/hq/,1,Corner stone Munnar
Gurgaon,28.4215896,77.0539152,http://www.goibibo.com/hotels/detail/Gurgaon/hn/1466927038870613796/2856434235234463600/na/hq/,4.8,"Cinnamon Homestay, Sohna Road"
Kovalam,8.30596322,77.08645906,http://www.goibibo.com/hotels/detail/Kovalam/hn/6593905156853734893/302083659441759793/na/hq/,2.8,Club Mahindra Poovar
Kolkata,22.51877892,88.35822215,http://www.goibibo.com/hotels/detail/Kolkata/hn/2066465017672827882/4052436776279850116/na/hq/,1,Corporate Living
Coorg,12.43905,75.9072511,http://www.goibibo.com/hotels/detail/Coorg/hn/6624397033787067229/72254536256556002/na/hq/,1,Coorg Anekad Jungle stay
Chikmagalur,13.2292191,75.6656515,http://www.goibibo.com/hotels/detail/Chikmagalur/hn/4801527334652294087/1589204564973920756/na/hq/,4.5,Coffeegrove Resort
Mount Abu,24.42702688,72.70094994,http://www.goibibo.com/hotels/detail/Mount Abu/hn/9195262341727064608/4985068010101561211/na/hq/,3.4,Country Yard Resort (30 kms from Mount Abu)
Silvassa,20.27220969,72.98794608,http://www.goibibo.com/hotels/detail/Silvassa/hn/3264184141358025948/8855046055608721822/na/hq/,3.6,Daman Ganga Valley Resort
kumbalgarh,25.1495495,73.583705,http://www.goibibo.com/hotels/detail/kumbalgarh/hn/888888881382684942/372046956317890019/na/hq/,4,Club Mahindra Kumbhalgarh
Agra,27.1676654,78.0159712,http://www.goibibo.com/hotels/detail/Agra/hn/2049835366479118179/4632888816640383889/na/hq/,3.5,D. R. Residency
Corbett,29.46246792,79.14747643,http://www.goibibo.com/hotels/detail/Corbett/hn/6612277265847855481/2844216438902386422/na/hq/,3.4,Corbett Jungle Treasure
Wayanad,11.703206,76.0833999,http://www.goibibo.com/hotels/detail/Wayanad/hn/6194322623629521587/4229276122170013066/na/hq/,1,Chyavana Ayur Retreat
Coorg,12.4166525,75.7494907,http://www.goibibo.com/hotels/detail/Coorg/hn/6624397033787067229/6237914799938715856/na/hq/,1,Coffee Cottage
Kolkata,22.6249642,88.4175181,http://www.goibibo.com/hotels/detail/Kolkata/hn/2066465017672827882/8046944759756862502/na/hq/,1,Classic Hotel &amp; Restaurant
Kannur,11.8744775,75.3703662,http://www.goibibo.com/hotels/detail/Kannur/hn/2239235443641646617/6374253394910504661/na/hq/,1,Costa Malabari
Delhi,28.51432062,77.0927637,http://www.goibibo.com/hotels/detail/Delhi/hn/2820046943342890302/4626199219085190864/na/hq/,3.1,City Park Airport - A Boutique Hotel
Port Blair,11.6233774,92.7264828,http://www.goibibo.com/hotels/detail/Port Blair/hn/4221994537604741770/1438211679605204724/na/hq/,1,Coastal Breeze
Noida,28.5121551,77.3912953,http://www.goibibo.com/hotels/detail/Noida/hn/2311763083662248959/6388851992431649082/na/hq/,4.5,Daisy Home
Agra,27.1620923,78.0381322,http://www.goibibo.com/hotels/detail/Agra/hn/2049835366479118179/8887590606649363848/na/hq/,3.9,Crystal Retreat
